Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
C76947 prelayout exact-code probe,"C_ADC_CM1N,C_ADC_CM1P,C_ADC_CM2N,C_ADC_CM2P,C_ADC_CM3N,C_ADC_CM3P,C_ADC_CM4N,C_ADC_CM4P,C_ADC_CM5N,C_ADC_CM5P,C_ADC_CM6N,C_ADC_CM6P,C_ADC_CM7N,C_ADC_CM7P,C_ADC_CM8N,C_ADC_CM8P,C_LDO_NR4,C_LDO_NR5",,C76947,18,90,90,950155,OK,C76947,expand,950245,GRM1555C1H102JA01D,Murata Electronics,0402,0.0104
C780842 prelayout exact-code probe,Q_IN,,C780842,1,5,5,3336,OK,C780842,expand,3341,DMP6023LFG-13,Diodes Incorporated,PowerDI3333-8,1.2428
C83846 prelayout exact-code probe,D_IN,,C83846,1,5,5,18550,OK,C83846,expand,18555,SMBJ15A,Littelfuse,DO-214AA,0.131
C844025 prelayout exact-code probe,"R_FSYNC,R_PRE",,C844025,2,10,10,24205,OK,C844025,expand,24215,CRCW120622R0FKEAHP,Vishay Intertech,1206,0.0672
C844653 prelayout exact-code probe,"R_DUMP,R_FILT1P,R_FILT2P",,C844653,3,15,15,50627,OK,C844653,expand,50642,CRCW12061R00FKEAHP,Vishay Intertech,1206,0.1211
C84494 prelayout exact-code probe,"C_BUCK_O1,C_BUCK_O2,C_BUCK_O3,C_LDO_IN,C_LDO_OUT,C_OPA_BULK",,C84494,6,30,30,53636,OK,C84494,expand,53666,GRM32ER71A476KE15L,Murata Electronics,1210,0.5873
C85047 prelayout exact-code probe,"Q_PRE_EN,Q_RST1",,C85047,2,10,10,80109,OK,C85047,expand,80119,2N7002K-7,Diodes Incorporated,SOT-23,0.0983
C85098 prelayout exact-code probe,D_HOLD,,C85098,1,5,5,208699,OK,C85098,expand,208704,B340A-13-F,Diodes Incorporated,SMA(DO-214AC),0.0869
C861167 prelayout exact-code probe,R_ADC_TOP,,C861167,1,5,5,2696,OK,C861167,expand,2701,RT0603BRD0717K4L,YAGEO,0603,0.0352
C861313 prelayout exact-code probe,R_PWR_TOP,,C861313,1,5,5,4489,OK,C861313,expand,4494,RT0603BRD0730K9L,YAGEO,0603,0.0436
C95204 prelayout exact-code probe,"R_ADC_BOT,R_PWR_BOT",,C95204,2,10,10,2040051,OK,C95204,expand,2040061,RT0603BRD0710KL,YAGEO,0603,0.0327
C96333 prelayout exact-code probe,U_RST1,,C96333,1,5,5,793,OK,C96333,expand,798,TPS3839K33DBZR,Texas Instruments,SOT-23,0.7874
C97907 prelayout exact-code probe,"C_DUMP_TIME,C_FILTER1N1,C_FILTER1N2,C_FILTER1P1,C_FILTER1P2,C_FILTER2N1,C_FILTER2N2,C_FILTER2P1,C_FILTER2P2,C_FILTER3N1,C_FILTER3N2,C_FILTER3P1,C_FILTER3P2,C_FILTER4N1,C_FILTER4N2,C_FILTER4P1,C_FILTER4P2,C_FILTER5N1,C_FILTER5N2,C_FILTER5P1,C_FILTER5P2,C_FILTER6N1,C_FILTER6N2,C_FILTER6P1,C_FILTER6P2,C_FILTER7N1,C_FILTER7N2,C_FILTER7P1,C_FILTER7P2,C_FILTER8N1,C_FILTER8N2,C_FILTER8P1,C_FILTER8P2",,C97907,33,165,165,30409,OK,C97907,expand,30574,GRM2195C1H153JA01D,Murata Electronics,0805,0.0807
