Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
15nF,"C_DUMP_TIME,C_FILTER1N1,C_FILTER1N2,C_FILTER1P1,C_FILTER1P2,C_FILTER2N1,C_FILTER2N2,C_FILTER2P1,C_FILTER2P2,C_FILTER3N1,C_FILTER3N2,C_FILTER3P1,C_FILTER3P2,C_FILTER4N1,C_FILTER4N2,C_FILTER4P1,C_FILTER4P2,C_FILTER5N1,C_FILTER5N2,C_FILTER5P1,C_FILTER5P2,C_FILTER6N1,C_FILTER6N2,C_FILTER6P1,C_FILTER6P2,C_FILTER7N1,C_FILTER7N2,C_FILTER7P1,C_FILTER7P2,C_FILTER8N1,C_FILTER8N2,C_FILTER8P1,C_FILTER8P2",C_0805_2012Metric,C97907,33,165,315,30409,OK,C97907,expand,30574,GRM2195C1H153JA01D,Murata Electronics,0805,0.0807
17.4kΩ,R_ADC_TOP,R_0603_1608Metric,C861167,1,5,155,2696,OK,C861167,expand,2701,RT0603BRD0717K4L,YAGEO,0603,0.0352
1812L035/60MR,"F1,F2,F3,F4,F5,F6,F7,F8",Littelfuse_1812L035_60_Exact,C3761431,8,40,190,1823,OK,C3761431,expand,1863,1812L035/60MR,Littelfuse,1812,0.2408
1kΩ,"R_VMID1_BOT,R_VMID1_TOP,R_VMID2_BOT,R_VMID2_TOP",R_0603_1608Metric,C110776,4,20,170,459273,OK,C110776,expand,459293,RT0603BRD071KL,YAGEO,0603,0.0327
1nF,"C_ADC_CM1N,C_ADC_CM1P,C_ADC_CM2N,C_ADC_CM2P,C_ADC_CM3N,C_ADC_CM3P,C_ADC_CM4N,C_ADC_CM4P,C_ADC_CM5N,C_ADC_CM5P,C_ADC_CM6N,C_ADC_CM6P,C_ADC_CM7N,C_ADC_CM7P,C_ADC_CM8N,C_ADC_CM8P,C_LDO_NR4,C_LDO_NR5",C_0402_1005Metric,C76947,18,90,240,914452,OK,C76947,expand,914542,GRM1555C1H102JA01D,Murata Electronics,0402,0.0104
1uF,"C_AUDIO_CT1,C_AUDIO_CT2,C_FILT1_1U,C_FILT2_1U,C_PWR_CT,C_VMID1_EXT_1U,C_VMID2_EXT_1U",C_0603_1608Metric,C2167386,7,35,185,12029,OK,C2167386,expand,12064,C0603C105K4RACTU,KEMET,0603,0.042
1Ω,"R_DUMP,R_FILT1P,R_FILT2P",R_1206_3216Metric,C844653,3,15,165,50627,OK,C844653,expand,50642,CRCW12061R00FKEAHP,Vishay Intertech,1206,0.1105
220nF,C_RST_T,C_0603_1608Metric,C21120,1,5,155,962227,OK,C21120,base,962232,CL10B224KA8NNNC,Samsung Electro-Mechanics,0603,0.0138
22Ω,"R_BCLK,R_MCLK",R_0402_1005Metric,C114765,2,10,160,4042602,OK,C114765,expand,4042612,RC0402FR-0722RL,YAGEO,0402,0.0037
22Ω,"R_FSYNC,R_PRE",R_1206_3216Metric,C844025,2,10,160,24205,OK,C844025,expand,24215,CRCW120622R0FKEAHP,Vishay Intertech,1206,0.0672
